REGION,NAICS,DESCRIPTION,FLOORAREA[Msf],SITES[unit],FLOORAREA_PER_SITE[sf/unit],BUILDINGS[unit],BUILDINGS_PER_SITE[unit/unit],PURCHASES[GWh],TRANSFERS[GWh],GENERATION[GWh],SALES[GWh],NET_DEMAND[GWh],REPORTED_ELECTRIC[GWh],REPORTED_ELECTRIFICATION[pu],UNREPORTED_ELECTRIC[GWh],UNREPORTED_ELECTRIFICATION[pu],A,B,C,D,E,I,Z
NERC,311,Food,1157,13690,96586.0,31087,2.5,72205,239,4594,336,76701,72331.0,0.05254963985013342,1443.0,0.4658101178101178,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NORTHEAST,311,Food,1157,13690,96586.0,31087,2.5,5739,2,Q,Q,6125,72331.0,0.05254963985013342,1443.0,0.4658101178101178,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
MIDWEST,311,Food,1157,13690,96586.0,31087,2.5,31956,40,1081,17,33061,72331.0,0.05254963985013342,1443.0,0.4658101178101178,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
SOUTH,311,Food,1157,13690,96586.0,31087,2.5,22517,158,1739,168,24245,72331.0,0.05254963985013342,1443.0,0.4658101178101178,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
WEST,311,Food,1157,13690,96586.0,31087,2.5,11993,Q,1351,113,13270,72331.0,0.05254963985013342,1443.0,0.4658101178101178,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NERC,312,Beverage and Tobacco Products,252,2443,113358.9,6844,3.0,9755,*,259,Q,10014,9808.0,0.03304853181076672,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NORTHEAST,312,Beverage and Tobacco Products,252,2443,113358.9,6844,3.0,1466,*,2,*,1468,9808.0,0.03304853181076672,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
MIDWEST,312,Beverage and Tobacco Products,252,2443,113358.9,6844,3.0,1435,0,0,0,1435,9808.0,0.03304853181076672,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
SOUTH,312,Beverage and Tobacco Products,252,2443,113358.9,6844,3.0,3897,*,9,*,3906,9808.0,0.03304853181076672,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
WEST,312,Beverage and Tobacco Products,252,2443,113358.9,6844,3.0,2957,0,248,0,3205,9808.0,0.03304853181076672,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NERC,313,Textile Mills,220,1355,164744.2,2677,2.0,12773,0,101,187,12687,12586.0,0.02629620212935007,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
NORTHEAST,313,Textile Mills,220,1355,164744.2,2677,2.0,Q,0,47,0,Q,12586.0,0.02629620212935007,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
MIDWEST,313,Textile Mills,220,1355,164744.2,2677,2.0,270,0,0,0,270,12586.0,0.02629620212935007,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
SOUTH,313,Textile Mills,220,1355,164744.2,2677,2.0,10418,0,54,187,10285,12586.0,0.02629620212935007,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
WEST,313,Textile Mills,220,1355,164744.2,2677,2.0,239,0,0,0,239,12586.0,0.02629620212935007,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
NERC,314,Textile Product Mills,151,4277,39709.4,2522,0.7,2748,0,*,0,2748,2748.0,0.03352401746724891,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
NORTHEAST,314,Textile Product Mills,151,4277,39709.4,2522,0.7,119,0,0,0,119,2748.0,0.03352401746724891,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
MIDWEST,314,Textile Product Mills,151,4277,39709.4,2522,0.7,323,0,0,0,323,2748.0,0.03352401746724891,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
SOUTH,314,Textile Product Mills,151,4277,39709.4,2522,0.7,2100,0,*,0,2100,2748.0,0.03352401746724891,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
WEST,314,Textile Product Mills,151,4277,39709.4,2522,0.7,206,0,0,0,206,2748.0,0.03352401746724891,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
NERC,315,Apparel,44,3874,12439.3,2324,0.6,803,0,0,0,803,803.0,0.0212453300124533,766.0,0.040088772845953004,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
NORTHEAST,315,Apparel,44,3874,12439.3,2324,0.6,102,0,0,0,102,803.0,0.0212453300124533,766.0,0.040088772845953004,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
MIDWEST,315,Apparel,44,3874,12439.3,2324,0.6,Q,0,0,0,Q,803.0,0.0212453300124533,766.0,0.040088772845953004,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
SOUTH,315,Apparel,44,3874,12439.3,2324,0.6,579,0,0,0,579,803.0,0.0212453300124533,766.0,0.040088772845953004,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
WEST,315,Apparel,44,3874,12439.3,2324,0.6,79,0,0,0,79,803.0,0.0212453300124533,766.0,0.040088772845953004,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
NERC,316,Leather and Allied Products,15,466,33483.2,507,1.1,316,0,0,0,316,316.0,0.03239240506329114,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
NORTHEAST,316,Leather and Allied Products,15,466,33483.2,507,1.1,46,0,0,0,46,316.0,0.03239240506329114,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
MIDWEST,316,Leather and Allied Products,15,466,33483.2,507,1.1,152,0,0,0,152,316.0,0.03239240506329114,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
SOUTH,316,Leather and Allied Products,15,466,33483.2,507,1.1,98,0,0,0,98,316.0,0.03239240506329114,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
WEST,316,Leather and Allied Products,15,466,33483.2,507,1.1,20,0,0,0,20,316.0,0.03239240506329114,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
NERC,321,Wood Products,505,8398,71281.4,26107,3.4,21901,0,1063,610,22353,21308.0,0.061489018209123336,233.0,3.6609442060085833,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NORTHEAST,321,Wood Products,505,8398,71281.4,26107,3.4,1983,0,19,2,2000,21308.0,0.061489018209123336,233.0,3.6609442060085833,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
MIDWEST,321,Wood Products,505,8398,71281.4,26107,3.4,2534,0,54,*,2588,21308.0,0.061489018209123336,233.0,3.6609442060085833,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
SOUTH,321,Wood Products,505,8398,71281.4,26107,3.4,12828,0,49,*,12877,21308.0,0.061489018209123336,233.0,3.6609442060085833,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
WEST,321,Wood Products,505,8398,71281.4,26107,3.4,4556,0,940,608,4888,21308.0,0.061489018209123336,233.0,3.6609442060085833,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NERC,322,Paper,567,3220,185393.9,11450,3.6,61777,58,44435,6797,99474,56017.0,0.12730206901476337,505.0,8.776609900990099,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
NORTHEAST,322,Paper,567,3220,185393.9,11450,3.6,6877,6,6392,1645,11631,56017.0,0.12730206901476337,505.0,8.776609900990099,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
MIDWEST,322,Paper,567,3220,185393.9,11450,3.6,13295,37,4890,210,18011,56017.0,0.12730206901476337,505.0,8.776609900990099,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
SOUTH,322,Paper,567,3220,185393.9,11450,3.6,29362,15,29635,2700,56311,56017.0,0.12730206901476337,505.0,8.776609900990099,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
WEST,322,Paper,567,3220,185393.9,11450,3.6,12245,0,3518,2242,13520,56017.0,0.12730206901476337,505.0,8.776609900990099,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
NERC,323,Printing and Related Support,421,14005,33778.0,12139,0.9,14213,0,Q,Q,14232,14219.0,0.021356494830860117,194.0,10.939505154639175,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
NORTHEAST,323,Printing and Related Support,421,14005,33778.0,12139,0.9,2303,0,1,0,2304,14219.0,0.021356494830860117,194.0,10.939505154639175,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
MIDWEST,323,Printing and Related Support,421,14005,33778.0,12139,0.9,4189,0,*,0,4189,14219.0,0.021356494830860117,194.0,10.939505154639175,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
SOUTH,323,Printing and Related Support,421,14005,33778.0,12139,0.9,6550,0,Q,Q,6551,14219.0,0.021356494830860117,194.0,10.939505154639175,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
WEST,323,Printing and Related Support,421,14005,33778.0,12139,0.9,1171,0,Q,Q,1189,14219.0,0.021356494830860117,194.0,10.939505154639175,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
NERC,324,Petroleum and Coal Products,107,1918,64588.2,12697,7.2,50472,3207,18758,4775,67662,48904.0,0.24509970554555865,763.0,10.392513761467889,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NORTHEAST,324,Petroleum and Coal Products,107,1918,64588.2,12697,7.2,2924,Q,230,1,3155,48904.0,0.24509970554555865,763.0,10.392513761467889,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
MIDWEST,324,Petroleum and Coal Products,107,1918,64588.2,12697,7.2,10482,0,1536,886,11132,48904.0,0.24509970554555865,763.0,10.392513761467889,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
SOUTH,324,Petroleum and Coal Products,107,1918,64588.2,12697,7.2,29488,2545,11742,3320,40456,48904.0,0.24509970554555865,763.0,10.392513761467889,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
WEST,324,Petroleum and Coal Products,107,1918,64588.2,12697,7.2,7578,661,5249,569,12919,48904.0,0.24509970554555865,763.0,10.392513761467889,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NERC,325,Chemicals,917,8530,122210.6,45598,5.9,140688,5624,48802,12018,183096,134327.0,0.08958827339254208,2115.0,1.43416926713948,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NORTHEAST,325,Chemicals,917,8530,122210.6,45598,5.9,W,6,683,25,W,134327.0,0.08958827339254208,2115.0,1.43416926713948,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
MIDWEST,325,Chemicals,917,8530,122210.6,45598,5.9,38103,0,2557,180,40480,134327.0,0.08958827339254208,2115.0,1.43416926713948,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
SOUTH,325,Chemicals,917,8530,122210.6,45598,5.9,W,5591,44508,11737,W,134327.0,0.08958827339254208,2115.0,1.43416926713948,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
WEST,325,Chemicals,917,8530,122210.6,45598,5.9,11517,28,1053,76,12522,134327.0,0.08958827339254208,2115.0,1.43416926713948,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NERC,326,Plastics and Rubber Products,897,8217,116633.4,14910,1.9,55629,0,338,0,55967,55631.0,0.018031816792795384,1.0,6.824,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
NORTHEAST,326,Plastics and Rubber Products,897,8217,116633.4,14910,1.9,5269,0,Q,0,5559,55631.0,0.018031816792795384,1.0,6.824,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
MIDWEST,326,Plastics and Rubber Products,897,8217,116633.4,14910,1.9,17115,0,Q,0,17162,55631.0,0.018031816792795384,1.0,6.824,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
SOUTH,326,Plastics and Rubber Products,897,8217,116633.4,14910,1.9,23590,0,*,0,23590,55631.0,0.018031816792795384,1.0,6.824,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
WEST,326,Plastics and Rubber Products,897,8217,116633.4,14910,1.9,9655,0,0,0,9655,55631.0,0.018031816792795384,1.0,6.824,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
NERC,327,Nonmetallic Mineral Products,536,12184,49562.5,29071,2.6,37750,33,491,Q,37841,37498.0,0.07524998666595552,1.0,6.824,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
NORTHEAST,327,Nonmetallic Mineral Products,536,12184,49562.5,29071,2.6,W,0,238,54,W,37498.0,0.07524998666595552,1.0,6.824,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
MIDWEST,327,Nonmetallic Mineral Products,536,12184,49562.5,29071,2.6,11309,32,172,37,11477,37498.0,0.07524998666595552,1.0,6.824,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
SOUTH,327,Nonmetallic Mineral Products,536,12184,49562.5,29071,2.6,W,*,Q,Q,W,37498.0,0.07524998666595552,1.0,6.824,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
WEST,327,Nonmetallic Mineral Products,536,12184,49562.5,29071,2.6,5780,0,76,*,5856,37498.0,0.07524998666595552,1.0,6.824,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
NERC,331,Primary Metals,665,3138,226095.8,14803,4.9,131399,*,11399,4362,138437,127040.0,0.04522833753148614,2599.0,0.7811235090419392,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NORTHEAST,331,Primary Metals,665,3138,226095.8,14803,4.9,12965,0,462,Q,13403,127040.0,0.04522833753148614,2599.0,0.7811235090419392,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
MIDWEST,331,Primary Metals,665,3138,226095.8,14803,4.9,49470,*,4887,309,54048,127040.0,0.04522833753148614,2599.0,0.7811235090419392,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
SOUTH,331,Primary Metals,665,3138,226095.8,14803,4.9,55294,0,6037,4029,57303,127040.0,0.04522833753148614,2599.0,0.7811235090419392,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
WEST,331,Primary Metals,665,3138,226095.8,14803,4.9,13670,0,13,0,13683,127040.0,0.04522833753148614,2599.0,0.7811235090419392,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NERC,332,Fabricated Metal Products,1543,36439,44463.5,51834,1.5,41866,0,Q,0,43683,41869.0,0.02803334209080704,124.0,0.44025806451612903,0.16,0.32999999999999996,0.02,0.01,0.18,0.030000000000000006,0.27
NORTHEAST,332,Fabricated Metal Products,1543,36439,44463.5,51834,1.5,4311,0,0,0,4311,41869.0,0.02803334209080704,124.0,0.44025806451612903,0.16,0.32999999999999996,0.02,0.01,0.18,0.030000000000000006,0.27
MIDWEST,332,Fabricated Metal Products,1543,36439,44463.5,51834,1.5,19698,0,Q,0,21512,41869.0,0.02803334209080704,124.0,0.44025806451612903,0.16,0.32999999999999996,0.02,0.01,0.18,0.030000000000000006,0.27
SOUTH,332,Fabricated Metal Products,1543,36439,44463.5,51834,1.5,12819,0,0,0,12819,41869.0,0.02803334209080704,124.0,0.44025806451612903,0.16,0.32999999999999996,0.02,0.01,0.18,0.030000000000000006,0.27
WEST,332,Fabricated Metal Products,1543,36439,44463.5,51834,1.5,5038,0,Q,0,5040,41869.0,0.02803334209080704,124.0,0.44025806451612903,0.16,0.32999999999999996,0.02,0.01,0.18,0.030000000000000006,0.27
NERC,333,Machinery,917,15307,64461.3,24802,1.7,23482,0,344,68,23758,23424.0,0.02388866120218579,124.0,0.44025806451612903,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
NORTHEAST,333,Machinery,917,15307,64461.3,24802,1.7,3063,0,Q,0,3072,23424.0,0.02388866120218579,124.0,0.44025806451612903,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
MIDWEST,333,Machinery,917,15307,64461.3,24802,1.7,10646,0,326,68,10903,23424.0,0.02388866120218579,124.0,0.44025806451612903,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
SOUTH,333,Machinery,917,15307,64461.3,24802,1.7,7795,0,*,0,7795,23424.0,0.02388866120218579,124.0,0.44025806451612903,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
WEST,333,Machinery,917,15307,64461.3,24802,1.7,1977,0,Q,0,1987,23424.0,0.02388866120218579,124.0,0.44025806451612903,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
NERC,334,Computer and Electronic Products,528,6831,80438.1,11641,1.8,32802,0,63,0,32864,32820.0,0.016841681901279708,722.0,0.023628808864265927,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NORTHEAST,334,Computer and Electronic Products,528,6831,80438.1,11641,1.8,5593,0,*,0,5593,32820.0,0.016841681901279708,722.0,0.023628808864265927,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
MIDWEST,334,Computer and Electronic Products,528,6831,80438.1,11641,1.8,4447,0,Q,0,4467,32820.0,0.016841681901279708,722.0,0.023628808864265927,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
SOUTH,334,Computer and Electronic Products,528,6831,80438.1,11641,1.8,7076,0,*,0,7076,32820.0,0.016841681901279708,722.0,0.023628808864265927,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
WEST,334,Computer and Electronic Products,528,6831,80438.1,11641,1.8,15686,0,43,0,15729,32820.0,0.016841681901279708,722.0,0.023628808864265927,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NERC,335,"Electrical Equip., Appliances, and Components",268,3298,88674.3,4901,1.5,11690,Q,Q,0,11764,11764.0,0.02059265555933356,275.0,0.024814545454545454,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
NORTHEAST,335,"Electrical Equip., Appliances, and Components",268,3298,88674.3,4901,1.5,2224,Q,Q,0,2297,11764.0,0.02059265555933356,275.0,0.024814545454545454,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
MIDWEST,335,"Electrical Equip., Appliances, and Components",268,3298,88674.3,4901,1.5,3284,0,0,0,3284,11764.0,0.02059265555933356,275.0,0.024814545454545454,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
SOUTH,335,"Electrical Equip., Appliances, and Components",268,3298,88674.3,4901,1.5,5408,0,*,0,5408,11764.0,0.02059265555933356,275.0,0.024814545454545454,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
WEST,335,"Electrical Equip., Appliances, and Components",268,3298,88674.3,4901,1.5,774,0,0,0,774,11764.0,0.02059265555933356,275.0,0.024814545454545454,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
NERC,336,Transportation Equipment,1162,6603,189754.8,17854,2.9,45169,0,452,37,45584,45185.0,0.02401274759322784,710.0,0.06727887323943663,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NORTHEAST,336,Transportation Equipment,1162,6603,189754.8,17854,2.9,2982,0,135,1,3116,45185.0,0.02401274759322784,710.0,0.06727887323943663,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
MIDWEST,336,Transportation Equipment,1162,6603,189754.8,17854,2.9,20099,0,Q,0,20242,45185.0,0.02401274759322784,710.0,0.06727887323943663,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
SOUTH,336,Transportation Equipment,1162,6603,189754.8,17854,2.9,16928,0,90,4,17014,45185.0,0.02401274759322784,710.0,0.06727887323943663,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
WEST,336,Transportation Equipment,1162,6603,189754.8,17854,2.9,5159,0,Q,32,5211,45185.0,0.02401274759322784,710.0,0.06727887323943663,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NERC,337,Furniture and Related Products,502,7913,69451.4,8622,1.2,5072,0,Q,Q,5169,5072.0,0.0248903785488959,126.0,0.027079365079365078,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
NORTHEAST,337,Furniture and Related Products,502,7913,69451.4,8622,1.2,422,0,0,0,422,5072.0,0.0248903785488959,126.0,0.027079365079365078,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
MIDWEST,337,Furniture and Related Products,502,7913,69451.4,8622,1.2,1634,0,Q,0,1728,5072.0,0.0248903785488959,126.0,0.027079365079365078,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
SOUTH,337,Furniture and Related Products,502,7913,69451.4,8622,1.2,2281,0,4,Q,2283,5072.0,0.0248903785488959,126.0,0.027079365079365078,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
WEST,337,Furniture and Related Products,502,7913,69451.4,8622,1.2,735,0,*,0,735,5072.0,0.0248903785488959,126.0,0.027079365079365078,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
NERC,339,Miscellaneous,349,13001,29657.3,12600,1.0,8430,*,440,Q,8863,8466.0,0.02297236002834869,126.0,0.027079365079365078,,,,,,,
NORTHEAST,339,Miscellaneous,349,13001,29657.3,12600,1.0,1778,*,Q,0,2127,8466.0,0.02297236002834869,126.0,0.027079365079365078,,,,,,,
MIDWEST,339,Miscellaneous,349,13001,29657.3,12600,1.0,2431,0,0,0,2431,8466.0,0.02297236002834869,126.0,0.027079365079365078,,,,,,,
SOUTH,339,Miscellaneous,349,13001,29657.3,12600,1.0,2699,0,Q,Q,2746,8466.0,0.02297236002834869,126.0,0.027079365079365078,,,,,,,
WEST,339,Miscellaneous,349,13001,29657.3,12600,1.0,1522,0,Q,Q,1558,8466.0,0.02297236002834869,126.0,0.027079365079365078,,,,,,,
NERC,3112,Grain and Oilseed Milling,117,600,217154.8,4589,7.8,14583,58,1054,54,15641,14591.0,0.06500829278322254,1443.0,0.4658101178101178,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
NORTHEAST,3112,Grain and Oilseed Milling,117,600,217154.8,4589,7.8,407,0,1,0,408,14591.0,0.06500829278322254,1443.0,0.4658101178101178,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
MIDWEST,3112,Grain and Oilseed Milling,117,600,217154.8,4589,7.8,10046,40,844,17,10914,14591.0,0.06500829278322254,1443.0,0.4658101178101178,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
