REGION,NAICS,DESCRIPTION,FLOORAREA[Msf],SITES[unit],FLOORAREA_PER_SITE[sf/unit],BUILDINGS[unit],BUILDINGS_PER_SITE[unit/unit],PURCHASES[GWh],TRANSFERS[GWh],GENERATION[GWh],SALES[GWh],NET_DEMAND[GWh],REPORTED_ELECTRIC[GWh],REPORTED_ELECTRIFICATION[pu],UNREPORTED_ELECTRIC[GWh],UNREPORTED_ELECTRIFICATION[pu],A,B,C,D,E,I,Z
SOUTH,3112,Grain and Oilseed Milling,117,600,217154.8,4589,7.8,3383,16,157,37,3520,14591.0,0.06500829278322254,1443.0,0.4658101178101178,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
WEST,3112,Grain and Oilseed Milling,117,600,217154.8,4589,7.8,747,2,52,1,800,14591.0,0.06500829278322254,1443.0,0.4658101178101178,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
NERC,3114,Fruit and Vegetable Preserving and Specialty Food ,182,985,198955.7,3886,4.1,9538,3,469,30,9979,9551.0,0.052157051617631664,127.0,0.32239370078740154,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NORTHEAST,3114,Fruit and Vegetable Preserving and Specialty Food ,182,985,198955.7,3886,4.1,778,0,35,1,811,9551.0,0.052157051617631664,127.0,0.32239370078740154,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
MIDWEST,3114,Fruit and Vegetable Preserving and Specialty Food ,182,985,198955.7,3886,4.1,2879,0,24,0,2903,9551.0,0.052157051617631664,127.0,0.32239370078740154,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
SOUTH,3114,Fruit and Vegetable Preserving and Specialty Food ,182,985,198955.7,3886,4.1,2489,0,368,26,2831,9551.0,0.052157051617631664,127.0,0.32239370078740154,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
WEST,3114,Fruit and Vegetable Preserving and Specialty Food ,182,985,198955.7,3886,4.1,3391,3,42,3,3434,9551.0,0.052157051617631664,127.0,0.32239370078740154,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NERC,3115,Dairy Product,178,992,197138.0,2634,2.9,10364,0,51,16,10399,10350.0,0.03593314009661836,733.0,0.02792905866302865,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NORTHEAST,3115,Dairy Product,178,992,197138.0,2634,2.9,1408,0,*,*,1409,10350.0,0.03593314009661836,733.0,0.02792905866302865,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
MIDWEST,3115,Dairy Product,178,992,197138.0,2634,2.9,3752,0,5,0,3757,10350.0,0.03593314009661836,733.0,0.02792905866302865,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
SOUTH,3115,Dairy Product,178,992,197138.0,2634,2.9,1914,0,0,0,1914,10350.0,0.03593314009661836,733.0,0.02792905866302865,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
WEST,3115,Dairy Product,178,992,197138.0,2634,2.9,3291,0,46,16,3320,10350.0,0.03593314009661836,733.0,0.02792905866302865,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NERC,3116,Animal Slaughtering and Processing,168,1603,117287.5,4566,3.1,18198,2,448,39,18609,18173.0,0.03773796291201233,733.0,0.02792905866302865,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
NORTHEAST,3116,Animal Slaughtering and Processing,168,1603,117287.5,4566,3.1,767,2,109,*,878,18173.0,0.03773796291201233,733.0,0.02792905866302865,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
MIDWEST,3116,Animal Slaughtering and Processing,168,1603,117287.5,4566,3.1,7284,0,4,0,7288,18173.0,0.03773796291201233,733.0,0.02792905866302865,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
SOUTH,3116,Animal Slaughtering and Processing,168,1603,117287.5,4566,3.1,8754,0,Q,38,8747,18173.0,0.03773796291201233,733.0,0.02792905866302865,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
WEST,3116,Animal Slaughtering and Processing,168,1603,117287.5,4566,3.1,1393,0,304,1,1696,18173.0,0.03773796291201233,733.0,0.02792905866302865,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
NERC,3121,  Beverages,225,2369,104382.3,6523,3.0,8815,*,250,*,9065,8868.0,0.03308885881822282,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NORTHEAST,3121,  Beverages,225,2369,104382.3,6523,3.0,1439,*,2,*,1440,8868.0,0.03308885881822282,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
MIDWEST,3121,  Beverages,225,2369,104382.3,6523,3.0,1418,0,0,0,1418,8868.0,0.03308885881822282,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
SOUTH,3121,  Beverages,225,2369,104382.3,6523,3.0,3001,*,*,0,3001,8868.0,0.03308885881822282,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
WEST,3121,  Beverages,225,2369,104382.3,6523,3.0,2957,0,248,0,3205,8868.0,0.03308885881822282,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NERC,3122,  Tobacco ,27,74,389512.4,321,4.4,940,0,9,*,949,940.0,0.03266808510638298,766.0,0.040088772845953004,0.12000000000000002,0.33499999999999996,0.015000000000000003,0.01,0.18,0.030000000000000006,0.30999999999999994
NORTHEAST,3122,  Tobacco ,27,74,389512.4,321,4.4,27,0,0,0,27,940.0,0.03266808510638298,766.0,0.040088772845953004,0.12000000000000002,0.33499999999999996,0.015000000000000003,0.01,0.18,0.030000000000000006,0.30999999999999994
MIDWEST,3122,  Tobacco ,27,74,389512.4,321,4.4,16,0,0,0,16,940.0,0.03266808510638298,766.0,0.040088772845953004,0.12000000000000002,0.33499999999999996,0.015000000000000003,0.01,0.18,0.030000000000000006,0.30999999999999994
SOUTH,3122,  Tobacco ,27,74,389512.4,321,4.4,896,0,9,*,905,940.0,0.03266808510638298,766.0,0.040088772845953004,0.12000000000000002,0.33499999999999996,0.015000000000000003,0.01,0.18,0.030000000000000006,0.30999999999999994
WEST,3122,  Tobacco ,27,74,389512.4,321,4.4,0,0,0,0,0,940.0,0.03266808510638298,766.0,0.040088772845953004,0.12000000000000002,0.33499999999999996,0.015000000000000003,0.01,0.18,0.030000000000000006,0.30999999999999994
NERC,3212,"  Veneer, Plywood, and Engineered Woods",83,973,98937.9,2992,3.4,7387,0,82,11,7459,7377.0,0.07446550088111697,51.0,6.957803921568627,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NORTHEAST,3212,"  Veneer, Plywood, and Engineered Woods",83,973,98937.9,2992,3.4,274,0,3,0,278,7377.0,0.07446550088111697,51.0,6.957803921568627,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
MIDWEST,3212,"  Veneer, Plywood, and Engineered Woods",83,973,98937.9,2992,3.4,633,0,52,*,686,7377.0,0.07446550088111697,51.0,6.957803921568627,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
SOUTH,3212,"  Veneer, Plywood, and Engineered Woods",83,973,98937.9,2992,3.4,4675,0,*,0,4675,7377.0,0.07446550088111697,51.0,6.957803921568627,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
WEST,3212,"  Veneer, Plywood, and Engineered Woods",83,973,98937.9,2992,3.4,1805,0,26,11,1820,7377.0,0.07446550088111697,51.0,6.957803921568627,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NERC,3219,  Other Wood Products,315,5558,66766.1,14646,2.9,8523,0,Q,0,8549,8541.0,0.03755157475705421,13.0,15.22276923076923,0.12000000000000002,0.33499999999999996,0.015000000000000003,0.01,0.18,0.030000000000000006,0.30999999999999994
NORTHEAST,3219,  Other Wood Products,315,5558,66766.1,14646,2.9,1297,0,5,0,1302,8541.0,0.03755157475705421,13.0,15.22276923076923,0.12000000000000002,0.33499999999999996,0.015000000000000003,0.01,0.18,0.030000000000000006,0.30999999999999994
MIDWEST,3219,  Other Wood Products,315,5558,66766.1,14646,2.9,1500,0,1,0,1501,8541.0,0.03755157475705421,13.0,15.22276923076923,0.12000000000000002,0.33499999999999996,0.015000000000000003,0.01,0.18,0.030000000000000006,0.30999999999999994
SOUTH,3219,  Other Wood Products,315,5558,66766.1,14646,2.9,Q,0,*,0,Q,8541.0,0.03755157475705421,13.0,15.22276923076923,0.12000000000000002,0.33499999999999996,0.015000000000000003,0.01,0.18,0.030000000000000006,0.30999999999999994
WEST,3219,  Other Wood Products,315,5558,66766.1,14646,2.9,885,0,Q,0,905,8541.0,0.03755157475705421,13.0,15.22276923076923,0.12000000000000002,0.33499999999999996,0.015000000000000003,0.01,0.18,0.030000000000000006,0.30999999999999994
NERC,3254,  Pharmaceuticals and Medicines,183,1199,159078.0,5165,4.5,10677,5,799,21,11460,10671.0,0.030056039733858116,92.0,0.1483478260869565,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NORTHEAST,3254,  Pharmaceuticals and Medicines,183,1199,159078.0,5165,4.5,W,5,640,20,W,10671.0,0.030056039733858116,92.0,0.1483478260869565,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
MIDWEST,3254,  Pharmaceuticals and Medicines,183,1199,159078.0,5165,4.5,3074,0,90,0,3165,10671.0,0.030056039733858116,92.0,0.1483478260869565,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
SOUTH,3254,  Pharmaceuticals and Medicines,183,1199,159078.0,5165,4.5,W,0,29,*,W,10671.0,0.030056039733858116,92.0,0.1483478260869565,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
WEST,3254,  Pharmaceuticals and Medicines,183,1199,159078.0,5165,4.5,1476,*,41,1,1516,10671.0,0.030056039733858116,92.0,0.1483478260869565,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NERC,3312, Steel Products from Purchased Steel,80,470,195266.9,1512,3.4,6556,0,9,*,6565,6557.0,0.029660515479640083,12.0,1.9903333333333335,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
NORTHEAST,3312, Steel Products from Purchased Steel,80,470,195266.9,1512,3.4,566,0,9,*,575,6557.0,0.029660515479640083,12.0,1.9903333333333335,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
MIDWEST,3312, Steel Products from Purchased Steel,80,470,195266.9,1512,3.4,2632,0,*,0,2632,6557.0,0.029660515479640083,12.0,1.9903333333333335,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
SOUTH,3312, Steel Products from Purchased Steel,80,470,195266.9,1512,3.4,3213,0,0,0,3213,6557.0,0.029660515479640083,12.0,1.9903333333333335,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
WEST,3312, Steel Products from Purchased Steel,80,470,195266.9,1512,3.4,145,0,*,0,145,6557.0,0.029660515479640083,12.0,1.9903333333333335,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
NERC,3313, Alumina and Aluminum,119,383,333903.1,2483,6.6,38229,*,6727,3848,41107,34380.0,0.024116230366492148,103.0,0.26500970873786406,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NORTHEAST,3313, Alumina and Aluminum,119,383,333903.1,2483,6.6,2868,0,0,0,2868,34380.0,0.024116230366492148,103.0,0.26500970873786406,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
MIDWEST,3313, Alumina and Aluminum,119,383,333903.1,2483,6.6,10818,*,1067,0,11885,34380.0,0.024116230366492148,103.0,0.26500970873786406,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
SOUTH,3313, Alumina and Aluminum,119,383,333903.1,2483,6.6,18640,0,5660,3848,20451,34380.0,0.024116230366492148,103.0,0.26500970873786406,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
WEST,3313, Alumina and Aluminum,119,383,333903.1,2483,6.6,5902,0,0,0,5902,34380.0,0.024116230366492148,103.0,0.26500970873786406,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NERC,3314," Nonferrous Metals, except Aluminum",83,662,135837.6,2639,4.2,13062,0,37,45,13054,13017.0,0.025163401705462086,24.0,0.9951666666666668,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NORTHEAST,3314," Nonferrous Metals, except Aluminum",83,662,135837.6,2639,4.2,1682,0,*,Q,1661,13017.0,0.025163401705462086,24.0,0.9951666666666668,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
MIDWEST,3314," Nonferrous Metals, except Aluminum",83,662,135837.6,2639,4.2,4065,0,*,25,4040,13017.0,0.025163401705462086,24.0,0.9951666666666668,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
SOUTH,3314," Nonferrous Metals, except Aluminum",83,662,135837.6,2639,4.2,4428,0,36,0,4464,13017.0,0.025163401705462086,24.0,0.9951666666666668,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
WEST,3314," Nonferrous Metals, except Aluminum",83,662,135837.6,2639,4.2,2888,0,*,0,2888,13017.0,0.025163401705462086,24.0,0.9951666666666668,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NERC,3315, Foundries,132,1278,105886.0,4068,3.2,13218,0,22,*,13241,13219.0,0.030457371964596414,124.0,0.44025806451612903,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NORTHEAST,3315, Foundries,132,1278,105886.0,4068,3.2,1049,0,*,0,1049,13219.0,0.030457371964596414,124.0,0.44025806451612903,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
MIDWEST,3315, Foundries,132,1278,105886.0,4068,3.2,7572,0,9,*,7580,13219.0,0.030457371964596414,124.0,0.44025806451612903,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
SOUTH,3315, Foundries,132,1278,105886.0,4068,3.2,3861,0,1,0,3862,13219.0,0.030457371964596414,124.0,0.44025806451612903,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
WEST,3315, Foundries,132,1278,105886.0,4068,3.2,736,0,13,0,749,13219.0,0.030457371964596414,124.0,0.44025806451612903,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NERC,3364,Aerospace Product and Parts,320,1063,351847.4,7697,8.1,9432,0,246,33,9645,9417.0,0.024637995115217158,192.0,0.106625,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
NORTHEAST,3364,Aerospace Product and Parts,320,1063,351847.4,7697,8.1,1025,0,135,1,1159,9417.0,0.024637995115217158,192.0,0.106625,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
MIDWEST,3364,Aerospace Product and Parts,320,1063,351847.4,7697,8.1,2009,0,22,0,2031,9417.0,0.024637995115217158,192.0,0.106625,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
SOUTH,3364,Aerospace Product and Parts,320,1063,351847.4,7697,8.1,3165,0,5,0,3170,9417.0,0.024637995115217158,192.0,0.106625,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
WEST,3364,Aerospace Product and Parts,320,1063,351847.4,7697,8.1,3232,0,Q,32,3284,9417.0,0.024637995115217158,192.0,0.106625,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
NERC,31131,Sugar Manufacturing,31,71,461108.9,1022,16.2,1213,142,1803,157,3002,1224.0,0.4850392156862745,1443.0,0.4658101178101178,0.16,0.24000000000000005,0.02,0.01,0.18,0.030000000000000006,0.36
NORTHEAST,31131,Sugar Manufacturing,31,71,461108.9,1022,16.2,25,0,0,0,25,1224.0,0.4850392156862745,1443.0,0.4658101178101178,0.16,0.24000000000000005,0.02,0.01,0.18,0.030000000000000006,0.36
MIDWEST,31131,Sugar Manufacturing,31,71,461108.9,1022,16.2,563,0,205,*,768,1224.0,0.4850392156862745,1443.0,0.4658101178101178,0.16,0.24000000000000005,0.02,0.01,0.18,0.030000000000000006,0.36
SOUTH,31131,Sugar Manufacturing,31,71,461108.9,1022,16.2,308,142,1176,67,1560,1224.0,0.4850392156862745,1443.0,0.4658101178101178,0.16,0.24000000000000005,0.02,0.01,0.18,0.030000000000000006,0.36
WEST,31131,Sugar Manufacturing,31,71,461108.9,1022,16.2,317,0,422,90,650,1224.0,0.4850392156862745,1443.0,0.4658101178101178,0.16,0.24000000000000005,0.02,0.01,0.18,0.030000000000000006,0.36
NERC,311221,Wet Corn Milling,16,49,318767.6,870,17.8,6472,0,814,11,7274,6461.0,0.07287664448227829,1443.0,0.4658101178101178,0.13333333333333336,0.3722222222222222,0.01666666666666667,0.0,0.2,0.022222222222222223,0.25555555555555554
NORTHEAST,311221,Wet Corn Milling,16,49,318767.6,870,17.8,7,0,0,0,7,6461.0,0.07287664448227829,1443.0,0.4658101178101178,0.13333333333333336,0.3722222222222222,0.01666666666666667,0.0,0.2,0.022222222222222223,0.25555555555555554
MIDWEST,311221,Wet Corn Milling,16,49,318767.6,870,17.8,5557,0,706,11,6252,6461.0,0.07287664448227829,1443.0,0.4658101178101178,0.13333333333333336,0.3722222222222222,0.01666666666666667,0.0,0.2,0.022222222222222223,0.25555555555555554
SOUTH,311221,Wet Corn Milling,16,49,318767.6,870,17.8,840,0,85,0,925,6461.0,0.07287664448227829,1443.0,0.4658101178101178,0.13333333333333336,0.3722222222222222,0.01666666666666667,0.0,0.2,0.022222222222222223,0.25555555555555554
WEST,311221,Wet Corn Milling,16,49,318767.6,870,17.8,68,0,23,0,90,6461.0,0.07287664448227829,1443.0,0.4658101178101178,0.13333333333333336,0.3722222222222222,0.01666666666666667,0.0,0.2,0.022222222222222223,0.25555555555555554
NERC,321113,  Sawmills,96,1619,74861.3,7101,5.0,5600,0,955,599,5956,5001.0,0.08391841631673665,109.0,3.0050642201834865,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NORTHEAST,321113,  Sawmills,96,1619,74861.3,7101,5.0,395,0,11,2,404,5001.0,0.08391841631673665,109.0,3.0050642201834865,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
MIDWEST,321113,  Sawmills,96,1619,74861.3,7101,5.0,375,0,1,0,376,5001.0,0.08391841631673665,109.0,3.0050642201834865,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
SOUTH,321113,  Sawmills,96,1619,74861.3,7101,5.0,3072,0,49,*,3121,5001.0,0.08391841631673665,109.0,3.0050642201834865,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
WEST,321113,  Sawmills,96,1619,74861.3,7101,5.0,1758,0,894,597,2054,5001.0,0.08391841631673665,109.0,3.0050642201834865,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NERC,321219,   Reconstituted Wood Products,31,154,238620.9,645,4.8,4926,0,70,*,4996,4926.0,0.06649451887941535,13.0,15.22276923076923,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NORTHEAST,321219,   Reconstituted Wood Products,31,154,238620.9,645,4.8,226,0,3,0,229,4926.0,0.06649451887941535,13.0,15.22276923076923,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
MIDWEST,321219,   Reconstituted Wood Products,31,154,238620.9,645,4.8,434,0,52,*,485,4926.0,0.06649451887941535,13.0,15.22276923076923,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
SOUTH,321219,   Reconstituted Wood Products,31,154,238620.9,645,4.8,3395,0,*,0,3395,4926.0,0.06649451887941535,13.0,15.22276923076923,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
WEST,321219,   Reconstituted Wood Products,31,154,238620.9,645,4.8,870,0,16,0,886,4926.0,0.06649451887941535,13.0,15.22276923076923,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NERC,322110,  Pulp Mills,16,28,660445.9,741,30.4,1710,0,5655,479,6886,1345.0,0.6468847583643123,505.0,8.776609900990099,0.17142857142857146,0.19285714285714287,0.021428571428571432,0.0,0.2571428571428572,0.028571428571428574,0.32857142857142857
NORTHEAST,322110,  Pulp Mills,16,28,660445.9,741,30.4,36,0,510,78,468,1345.0,0.6468847583643123,505.0,8.776609900990099,0.17142857142857146,0.19285714285714287,0.021428571428571432,0.0,0.2571428571428572,0.028571428571428574,0.32857142857142857
MIDWEST,322110,  Pulp Mills,16,28,660445.9,741,30.4,233,0,0,0,233,1345.0,0.6468847583643123,505.0,8.776609900990099,0.17142857142857146,0.19285714285714287,0.021428571428571432,0.0,0.2571428571428572,0.028571428571428574,0.32857142857142857
SOUTH,322110,  Pulp Mills,16,28,660445.9,741,30.4,1337,0,5008,402,5943,1345.0,0.6468847583643123,505.0,8.776609900990099,0.17142857142857146,0.19285714285714287,0.021428571428571432,0.0,0.2571428571428572,0.028571428571428574,0.32857142857142857
WEST,322110,  Pulp Mills,16,28,660445.9,741,30.4,104,0,137,0,241,1345.0,0.6468847583643123,505.0,8.776609900990099,0.17142857142857146,0.19285714285714287,0.021428571428571432,0.0,0.2571428571428572,0.028571428571428574,0.32857142857142857
NERC,322121,"  Paper Mills, except Newsprint",97,165,677318.0,3061,22.0,19871,43,19925,3422,36416,17321.0,0.14813371052479649,505.0,8.776609900990099,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
NORTHEAST,322121,"  Paper Mills, except Newsprint",97,165,677318.0,3061,22.0,3227,6,5708,1556,7386,17321.0,0.14813371052479649,505.0,8.776609900990099,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
MIDWEST,322121,"  Paper Mills, except Newsprint",97,165,677318.0,3061,22.0,5892,37,4194,183,9939,17321.0,0.14813371052479649,505.0,8.776609900990099,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
SOUTH,322121,"  Paper Mills, except Newsprint",97,165,677318.0,3061,22.0,8330,0,8682,610,16402,17321.0,0.14813371052479649,505.0,8.776609900990099,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
WEST,322121,"  Paper Mills, except Newsprint",97,165,677318.0,3061,22.0,2422,0,1340,1073,2689,17321.0,0.14813371052479649,505.0,8.776609900990099,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
NERC,322122,  Newsprint Mills,6,18,326384.4,179,9.9,8245,0,428,39,8634,8206.0,0.024531805995612967,239.0,0.32835146443514646,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
