building_type,daytype,start,stop,occupied,unoccupied
APARTMENT,WEEKDAY,18,8,1.0,0.2
APARTMENT,WEEKEND,0,24,1.0,0.0
CONDO,WEEKDAY,18,8,1.0,0.2
CONDO,WEEKEND,0,24,1.0,0.0
EDUCATION,WEEKDAY,7,16,1.0,0.0
EDUCATION,WEEKEND,0,24,0.0,0.0
GROCERY,WEEKDAY,8,20,1.0,0.0
GROCERY,WEEKEND,8,20,1.0,0.0
HOUSE,WEEKDAY,18,8,1.0,0.2
HOUSE,WEEKEND,0,24,1.0,0.0
HEALTHCARE,WEEKDAY,6,22,1.0,0.5
HEALTHCARE,WEEKEND,6,22,1.0,0.5
LARGEOFFICE,WEEKDAY,9,17,1.0,0.0
LARGEOFFICE,WEEKEND,0,24,0.1,0.0
LODGING,WEEKDAY,6,8,1.0,0.5
LODGING,WEEKEND,5,9,1.0,0.5
RESTAURANT,WEEKDAY,10,20,1.0,0.0
RESTAURANT,WEEKEND,10,20,1.0,0.0
RETAIL,WEEKDAY,10,18,1.0,0.0
RETAIL,WEEKEND,10,18,1.0,0.0
SMALLOFFICE,WEEKDAY,9,17,1.0,0.0
SMALLOFFICE,WEEKEND,0,24,0.1,0.0
TOWNHOUSE,WEEKDAY,18,8,1.0,0.2
TOWNHOUSE,WEEKEND,0,24,1.0,0.0