"PK_INTRW_BLDG_ID","CK_SiteID","Building Management","Vacancy Percent","Vacancy Percent_notes","Problems or Complaints: Tenant Comfort","Problems or Complaints: HVAC System","Problems or Complaints: Lighting Control","Problems or Complaints: Lighting","Problems or Complaints: Mold or Mildew","Problems or Complaints: Windows","Problems or Complaints: Describe Problems","Domestic Water Lead Pump Has VFD","Domestic Water Boost Pump","Domestic Water Pump Qty","Domestic Water Pump Qty_notes","Domestic Water Total Motor HP","Domestic Water Total Motor HP_notes","Domestic Water Pressure Setpoint","Domestic Water Pressure Setpoint_notes"
"BldgIntrvw_00000389","BLDG_00498","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000204","BLDG_00472","Unknown",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000333","BLDG_00501","Unknown",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000126","BLDG_00504","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000143","BLDG_00440","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000378","BLDG_00443","Property management firm",0.0000,,"No","No","No","No","No","No","N/A","N/A","N/A",0,,0.0000,,0.0000,
"BldgIntrvw_00000229","BLDG_00233","Tenant manager",0.0000,,"No","No","No","No","No","No","N/A","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000412","BLDG_00505","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000247","BLDG_00459","Unknown",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000087","BLDG_00301","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","Yes",1,,0.0000,,50.0000,
"BldgIntrvw_00000159","BLDG_00251","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000096","BLDG_00261","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000371","BLDG_00313","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000085","BLDG_00259","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000122","BLDG_00312","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000151","BLDG_00315","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000335","BLDG_00012","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes",4,,0.0000,,0.0000,
"BldgIntrvw_00000337","BLDG_00297","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000283","BLDG_00010","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000263","BLDG_00250","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000334","BLDG_00275","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000116","BLDG_00320","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000437","BLDG_00029","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","N/A",0,,0.0000,,0.0000,
"BldgIntrvw_00000419","BLDG_00031","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000183","BLDG_00252","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000188","BLDG_00319","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000328","BLDG_00137","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000209","BLDG_00129","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000178","BLDG_00132","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000154","BLDG_00131","Property management firm",0.0400,,"No","No","No","No","No","No","N/A","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000089","BLDG_00077","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000327","BLDG_00210","Property management firm",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000076","BLDG_00245","Condo association",0.1400,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000145","BLDG_00212","Property management firm",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000079","BLDG_00220","HOA",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000120","BLDG_00214","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000217","BLDG_00215","Unknown",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000029","BLDG_00217","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000339","BLDG_00216","N/A",0.0000,,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000025","BLDG_00211","Unknown",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000160","BLDG_00110","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000133","BLDG_00060","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000144","BLDG_00058","Tenant manager",,"Unknown","No","No","No","No","Yes","No","Few complaints about mold in a couple units.","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000242","BLDG_00062","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000390","BLDG_00072","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000163","BLDG_00070","Tenant manager",0.0300,,"No","No","No","Yes","Yes","No","Bulbs blowing constantly, mold in basement units","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000251","BLDG_00064","Unknown",,"Unknown","Yes","Yes","No","Yes","No","Yes","Gets very cold in the winter time; lights burn out quickly; windows are terrible; heating system not adequate for size of townhouse.- complaints specific to homeowner interviewd","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000261","BLDG_00052","Tenant manager",,"Unknown","Yes","No","No","No","No","No","Gets really cold in winter and hot in summer- doesn't seem like there is insulation in floor over parking stalls","No","N/A",0,,0.0000,,0.0000,
"BldgIntrvw_00000448","BLDG_00023","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000223","BLDG_00024","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000292","BLDG_00033","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000208","BLDG_00011","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000205","BLDG_00086","Owner",0.2500,,"No","No","No","No","No","No","N/A","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000385","BLDG_00143","Property management firm",0.0000,,"No","No","No","No","No","No","N/A","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000253","BLDG_00148","Property management firm",0.0000,,"No","No","No","No","No","No","N/A","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000344","BLDG_00149","Property management firm",0.0000,,"No","No","No","No","No","No","N/A","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000420","BLDG_00150","Property management firm",0.0000,,"No","No","No","No","No","No","N/A","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000066","BLDG_00151","Property management firm",,"Unknown","No","No","No","No","No","No","N/A","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000097","BLDG_00153","Property management firm",0.0000,,"No","No","No","No","No","No","N/A","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000191","BLDG_00158","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000153","BLDG_00330","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000107","BLDG_00032","Owner",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000102","BLDG_00042","Owner",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000071","BLDG_00088","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000374","BLDG_00089","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000014","BLDG_00142","Property management firm",0.1000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000402","BLDG_00145","Unknown",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000148","BLDG_00146","Unknown",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000103","BLDG_00152","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000206","BLDG_00213","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000438","BLDG_00218","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000270","BLDG_00219","Owner",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000112","BLDG_00221","Owner",0.0000,,"No","No","No","No","No","No","N/A","No","Yes",1,,0.7500,,15.0000,
"BldgIntrvw_00000131","BLDG_00222","Condo association",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000388","BLDG_00224","Property management firm",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000090","BLDG_00226","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",,"No",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000222","BLDG_00227","Tenant manager",0.0000,,"No","No","No","No","No","Yes","Unknown number of units","N/A","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000216","BLDG_00228","Unknown",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000231","BLDG_00229","Property management firm",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000074","BLDG_00230","Property management firm",0.2500,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000165","BLDG_00231","Condo association",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000332","BLDG_00321","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000406","BLDG_00323","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000312","BLDG_00326","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000212","BLDG_00291","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000322","BLDG_00298","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000430","BLDG_00292","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000026","BLDG_00191","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000189","BLDG_00207","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000446","BLDG_00193","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000266","BLDG_00202","Tenant manager",0.0000,,"No","No","No","No","No","No","N/A","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000185","BLDG_00199","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","N/A",0,,0.0000,,0.0000,
"BldgIntrvw_00000035","BLDG_00268","Property management firm",0.1660,,"No","No","No","No","No","No","N/A","N/A","N/A",0,,0.0000,,0.0000,
"BldgIntrvw_00000051","BLDG_00287","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000157","BLDG_00284","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000358","BLDG_00302","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000128","BLDG_00013","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000356","BLDG_00305","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000010","BLDG_00303","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000114","BLDG_00296","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000194","BLDG_00282","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000050","BLDG_00281","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000443","BLDG_00159","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",,"No",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000321","BLDG_00332","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000244","BLDG_00536","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000364","BLDG_00329","Property management firm",0.0000,,"No","No","No","No","No","No","N/A","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000293","BLDG_00331","Property management firm",0.1100,,"No","Yes","No","No","No","No","Tenants dont like heat in floors.","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000196","BLDG_00177","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000233","BLDG_00183","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000381","BLDG_00179","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000047","BLDG_00178","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000392","BLDG_00166","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000284","BLDG_00123","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","N/A",0,,0.0000,,0.0000,
"BldgIntrvw_00000130","BLDG_00172","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000132","BLDG_00176","Tenant manager",,"Unknown","No","No","No","No","No","Yes","Rocks thrown through Windows occasionally","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000147","BLDG_00170","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000023","BLDG_00133","Property management firm",0.2500,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000198","BLDG_00168","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000152","BLDG_00184","Owner",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000139","BLDG_00167","Owner",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000351","BLDG_00175","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000353","BLDG_00119","Property management firm",0.0000,,"No","Yes","No","No","Yes","No","Baseboard hard to control","No","No",0,,0.0000,,0.0000,
