"PK_Mechanical_ID","CK_SiteID","System Type","Ventilation Grade","Ventilation Type","Ventilation Working","Ventilation Controls","Ventilation Use","Ventilation Use_notes","Ventilation Use Units"
"Mechanical_00003700","SITE_00250","Central Vent","Panasonic or equivalent","Non-controlled","Yes","Continuous",24.0000,,"Hours per day"
"Mechanical_00003701","SITE_00265","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003702","SITE_00383","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.5000,,"Hours per day"
"Mechanical_00003703","SITE_00929","Central Vent","Panasonic or equivalent","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003704","SITE_00983","Central Vent","Builder Grade","Controlled","Yes","Variable Speed",0.0000,,"Hours per day"
"Mechanical_00003705","SITE_01432","Central Vent","Builder Grade","Controlled","Yes","Temperature",3.0000,,"Hours per day"
"Mechanical_00003706","SITE_01490","Central Vent","Unknown","Controlled","Yes","Manual Switch",,"Unknown","Hours per day"
"Mechanical_00003707","SITE_01492","Central Vent","Builder Grade","Controlled","No","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003708","SITE_01799","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003709","SITE_01795","Central Vent","Panasonic or equivalent","Controlled","Yes","Timer",17.0000,,"Hours per day"
"Mechanical_00003710","SITE_01819","Central Vent","Panasonic or equivalent","Controlled","Yes","Timer",8.0000,,"Hours per day"
"Mechanical_00003711","SITE_01739","Central Vent","Unknown","Non-controlled","Yes","Continuous",24.0000,,"Hours per day"
"Mechanical_00003712","SITE_01075","Central Vent","Unknown","Controlled","Yes","Timer",0.0000,,"Hours per day"
"Mechanical_00003713","SITE_02045","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003714","SITE_01734","Central Vent","Builder Grade","Controlled","Yes","Timer",0.0000,,"Hours per day"
"Mechanical_00003715","SITE_01691","Central Vent","Unknown","Controlled","Yes","Timer",,"Unknown","Hours per day"
"Mechanical_00003716","SITE_01910","Central Vent","Unknown","Controlled","Yes","Timer",,"Unknown","Hours per day"
"Mechanical_00003717","SITE_01910","Central Vent","Unknown","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003718","SITE_01751","Central Vent","Unknown","Controlled","Yes","Timer",,"Unknown","Hours per day"
"Mechanical_00003719","SITE_01899","Central Vent","Unknown","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003720","SITE_01071","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003721","SITE_01071","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003722","SITE_01071","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003723","SITE_01542","Central Vent","Panasonic or equivalent","Controlled","Yes","Timer",1.0000,,"Hours per day"
"Mechanical_00003724","SITE_01134","Central Vent","Panasonic or equivalent","Controlled","Yes","Timer",16.0000,,"Hours per day"
"Mechanical_00003725","SITE_00003","Central Vent","Panasonic or equivalent","Controlled","Yes","Manual Switch",,"Unknown","Hours per day"
"Mechanical_00003726","SITE_00174","Central Vent","Builder Grade","Unknown","Yes","Manual Switch",7.0000,,"Hours per day"
"Mechanical_00003727","SITE_00073","Central Vent","Panasonic or equivalent","Controlled","Yes","Timer",9.0000,,"Hours per day"
"Mechanical_00003728","SITE_01123","Central Vent","Builder Grade","Controlled","Yes","Timer",0.0000,,"Hours per day"
"Mechanical_00003729","SITE_01213","Central Vent","Builder Grade","Controlled","Yes","Timer",0.0000,,"Hours per day"
"Mechanical_00003730","SITE_01107","Central Vent","Builder Grade","Unknown","Unknown","Unknown",0.0000,,"Hours per day"
"Mechanical_00003731","SITE_01121","Central Vent","Builder Grade","Controlled","No","Timer",0.0000,,"Hours per day"
"Mechanical_00003732","SITE_00062","Central Vent","Unknown","Unknown","Unknown","Unknown",,"Unknown","Hours per day"
"Mechanical_00003733","SITE_00067","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003734","SITE_01152","Central Vent","Unknown","Unknown","Yes","Variable Speed",,"Unknown","Hours per day"
"Mechanical_00003735","SITE_01169","Central Vent","N/A","Unknown","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003736","SITE_01103","Central Vent","Panasonic or equivalent","Controlled","Unknown","Timer",,"Unknown","Hours per day"
"Mechanical_00003737","SITE_01110","Central Vent","Builder Grade","Controlled","Yes","Timer",5.0000,,"Hours per day"
"Mechanical_00003738","SITE_01928","Central Vent","Panasonic or equivalent","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003739","SITE_01999","Central Vent","Panasonic or equivalent","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003740","SITE_00805","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003741","SITE_00558","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003742","SITE_00559","Central Vent","Builder Grade","Unknown","Yes","Continuous",24.0000,,"Hours per day"
"Mechanical_00003743","SITE_00565","Central Vent","Builder Grade","Controlled","Yes","Unknown",0.0000,,"Hours per day"
"Mechanical_00003744","SITE_00574","Central Vent","Panasonic or equivalent","Controlled","Yes","Timer",0.2000,,"Hours per day"
"Mechanical_00003745","SITE_00601","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003746","SITE_01790","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003747","SITE_01828","Central Vent","Panasonic or equivalent","Non-controlled","Yes","N/A",24.0000,,"Hours per day"
"Mechanical_00003748","SITE_01855","Central Vent","Panasonic or equivalent","Controlled","Yes","Manual Switch",0.1000,,"Hours per day"
"Mechanical_00003749","SITE_01882","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003750","SITE_01931","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003751","SITE_01932","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003752","SITE_01935","Central Vent","Panasonic or equivalent","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003753","SITE_01957","Central Vent","Panasonic or equivalent","Controlled","Yes","Timer",4.0000,,"Hours per day"
"Mechanical_00003754","SITE_02025","Central Vent","Unknown","Non-controlled","Yes","Unknown",24.0000,,"Hours per day"
"Mechanical_00003755","SITE_00611","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.1000,,"Hours per day"
"Mechanical_00003756","SITE_00772","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",24.0000,,"Hours per day"
"Mechanical_00003757","SITE_00427","Central Vent","Panasonic or equivalent","Controlled","Yes","Timer",12.0000,,"Hours per day"
"Mechanical_00003758","SITE_00719","Central Vent","Builder Grade","Non-controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003759","SITE_00664","Central Vent","Panasonic or equivalent","Controlled","Yes","Manual Switch",0.0150,,"Hours per day"
"Mechanical_00003760","SITE_00670","Central Vent","Builder Grade","Controlled","Yes","Timer",0.0000,,"Hours per day"
"Mechanical_00003761","SITE_00785","Central Vent","Panasonic or equivalent","Controlled","Yes","Timer",3.0000,,"Hours per day"
"Mechanical_00003762","SITE_00785","Central Vent","Panasonic or equivalent","Controlled","Yes","Timer",3.0000,,"Hours per day"
"Mechanical_00003763","SITE_00468","Central Vent","Builder Grade","Controlled","Yes","Unknown",6.0000,,"Hours per day"
"Mechanical_00003764","SITE_00088","Central Vent","Panasonic or equivalent","Controlled","Yes","Timer",4.0000,,"Hours per day"
"Mechanical_00003765","SITE_01865","Central Vent","Panasonic or equivalent","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003766","SITE_00753","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003767","SITE_01473","Central Vent","Unknown","Controlled","Yes","Manual Switch",,"Unknown","Hours per day"
"Mechanical_00003768","SITE_01209","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003769","SITE_01838","Central Vent","Builder Grade","Controlled","No","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003770","SITE_01844","Central Vent","Builder Grade","Unknown","Unknown","Unknown",0.0000,,"Hours per day"
"Mechanical_00003771","SITE_01849","Central Vent","Panasonic or equivalent","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003772","SITE_01300","Central Vent","Unknown","Unknown","Unknown","Unknown",,"Unknown","Hours per day"
